"","nzreach","LENGTH","ORDER","CLIMATE","GEOLOGY","NET_POSN","DISTSEA","CATCHAREA"
"1",1000001,2980.66017,1,"WD","VA","LO",3547.645,1935900
"2",1000006,1116.3961,1,"WD","Pl","LO",1116.396,700435.12
"3",1000010,314.55844,2,"WD","VA","LO",314.5584,1926737.62
"4",1000011,911.54329,1,"WD","SS","LO",1593.381,935100
"5",1000013,489.41125,2,"WD","Pl","LO",489.4113,1959028.12
"6",1000023,512.13203,1,"WD","SS","LO",1139.117,432900
"7",1000026,272.13203,2,"WD","VA","LO",929.1169,1229400
"8",1000036,1640.95454,1,"WD","VA","LO",2612.498,1037700
"9",1000039,574.26407,3,"WD","SS","MO",731.5433,10449900
"10",1000056,1281.83766,2,"WD","SS","LO",2820.366,3979800
"11",1000073,899.11688,2,"WD","SS","LO",2672.498,4676400
"12",1000074,386.98485,1,"WD","SS","LO",1640.955,578700
"13",1000082,506.98485,2,"WD","SS","LO",1253.97,1248300
"14",1000118,604.26407,3,"WD","VA","MO",2217.351,6743700
"15",1000254,1181.54329,1,"WD","VA","LO",7090.509,756900
"16",1000318,432.42641,2,"WW","VA","LO",15536.16,829800
"17",1000342,549.41125,3,"WD","VA","MO",4960.143,27966600
"18",1000365,902.13203,2,"WD","HS","LO",1506.396,2165400
"19",1000371,1826.10173,2,"WD","VA","LO",9828.153,4846500
"20",1000394,969.41125,3,"WD","SS","MO",3542.498,4701600
"21",1000414,644.55844,3,"WD","SS","MO",1561.249,7215300
"22",1000514,634.26407,2,"WW","VA","LO",2207.939,3786300
"23",1000561,1416.3961,1,"WW","SS","LO",11517.56,1444500
"24",1000614,789.41125,1,"WW","SS","LO",8812.052,484200
"25",1000650,2354.92424,2,"WD","SS","LO",2644.63,6480900
"26",1000681,549.41125,1,"WD","SS","LO",3174.335,404100
"27",1000892,294.85281,2,"WD","SS","LO",4418.011,1516500
"28",1000944,409.70563,1,"WD","Al","LO",10958.74,315000
"29",1000952,342.42641,2,"WD","SS","LO",2447.939,3574800
"30",1000993,127.27922,2,"WD","SS","LO",8326.539,8000100
"31",1001130,971.54329,2,"WD","Al","LO",8494.478,3397500
"32",1001137,1326.3961,1,"WD","Al","LO",6355.951,698400
"33",1001148,1303.67532,3,"WD","Al","MO",4944.701,3671100
"34",1001185,1475.51299,1,"WD","SS","LO",5868.67,698400
"35",1001251,2202.79221,1,"WD","SS","LO",10387.86,1396800
"36",1001267,432.42641,2,"WD","Al","LO",5171.026,3268800
"37",1001271,771.83766,1,"WD","SS","LO",5534.407,394200
"38",1001301,1586.10173,3,"WD","Al","MO",3866.468,6115500
"39",1001314,314.55844,1,"WD","SS","LO",2608.234,313200
"40",1001341,856.69048,1,"WD","SS","LO",2504.924,502200
"41",1001345,272.13203,2,"WD","SS","LO",1648.234,1551600
"42",1001365,392.13203,1,"WD","SS","LO",1483.675,387000
"43",1001396,1681.24892,1,"WD","SS","LO",5535.291,1052100
"44",1001397,2175.80736,1,"WD","Al","LO",2405.513,1641600
"45",1001405,789.41125,1,"WD","SS","LO",5784.702,609300
"46",1001415,932.13203,1,"WD","SS","LO",932.132,666000
"47",1001428,489.41125,1,"WD","SS","LO",719.1169,469800
"48",1001448,356.98485,2,"WD","SS","LO",1613.087,1717200
"49",1001449,519.41125,2,"WD","Al","LO",5604.701,2182500
"50",1001456,609.41125,2,"WD","Al","LO",5085.29,2528100
"51",1001457,713.9697,1,"WD","Al","LO",5189.849,432900
"52",1001498,2600.07143,2,"WD","SS","LO",5325.29,3326400
"53",1001502,614.55844,1,"WD","SS","LO",614.5584,693716.88
"54",1001508,879.41125,1,"WD","Al","LO",4868.011,997200
"55",1001523,386.98485,1,"WD","SS","LO",706.6905,328500
"56",1001527,642.42641,1,"WD","Al","LO",5967.717,302400
"57",1001530,504.85281,1,"WD","Al","LO",5957.422,255600
"58",1001587,881.54329,2,"WD","SS","LO",1933.675,5193000
"59",1001595,1243.67532,1,"WD","Al","LO",3573.747,1011600
"60",1001598,1458.82251,1,"WD","Al","LO",5950.143,934200
"61",1001605,1388.52814,1,"WD","SS","LO",5944.996,1308600
"62",1001678,991.24892,2,"WD","Al","LO",991.2489,4059000
"63",1001683,552.42641,3,"WD","SS","MO",552.4264,6625715
"64",1001702,569.11688,1,"WD","M","LO",5264.407,552600
"65",1001704,526.69048,2,"WD","SS","LO",1079.117,3133800
"66",1001722,296.98485,2,"WD","SS","LO",1376.102,2010600
"67",1001725,690,1,"WD","SS","LO",1866.396,253800
"68",1001796,144.85281,1,"WD","Al","LO",144.8528,233100
"69",1001896,801.83766,1,"WD","SS","LO",11697.05,784800
"70",1001946,1913.08658,2,"WD","Al","LO",14888.96,2434500
"71",1001959,1141.24892,1,"WD","Al","LO",1141.249,1484557.88
"72",1001982,649.70563,1,"WD","Al","LO",14042.56,549000
"73",1002051,771.83766,1,"WW","VA","LO",2110.66,614700
"74",1002055,384.85281,2,"WW","VA","LO",384.8528,947898.69
"75",1002056,1389.41125,2,"WD","Al","LO",7517.788,3162600
"76",1002057,1323.38095,2,"WD","Al","LO",8841.169,2486700
"77",1002075,589.70563,1,"WW","VA","LO",589.7056,639101.19
"78",1002085,711.83766,1,"WW","VA","LO",1538.528,469800
"79",1002088,192.42641,2,"WD","Al","LO",9033.596,1062900
"80",1002111,701.54329,1,"WD","Al","LO",9777.566,477000
"81",1002114,102.42641,1,"WD","Al","LO",6933.229,269100
"82",1002129,921.83766,1,"WW","VA","LO",921.8376,836213
"83",1002133,2008.23376,1,"WW","VA","LO",2008.234,1494931.62
"84",1002188,923.9697,2,"WW","VA","LO",923.9697,1489018.25
"85",1002207,923.9697,1,"WD","Al","LO",3882.792,468000
"86",1002248,702.42641,1,"WD","SS","LO",3746.102,633600
"87",1002267,422.13203,2,"WW","VA","LO",12852.49,2473200
"88",1002301,1573.67532,4,"WW","SS","MO",4705.585,27490500
"89",1002382,701.54329,3,"WW","SS","MO",5726.833,17340300
"90",1002427,1560.3658,1,"WD","SS","LO",1560.366,1099799.88
"91",1002474,951.83766,1,"WD","SS","LO",5617.127,977400
"92",1002494,476.98485,2,"WD","Al","LO",476.9849,1619100
"93",1002560,1289.11688,1,"WD","SS","LO",6724.996,523800
"94",1002613,282.42641,1,"WD","SS","LO",1903.675,301500
"95",1002635,1616.10173,2,"WW","VA","LO",2682.792,3660300
"96",1002665,619.70563,1,"WD","SS","LO",3892.203,633600
"97",1002705,1086.3961,3,"WW","VA","MO",2310.366,3670200
"98",1002714,30,3,"WD","Al","MO",30,3744752
"99",1002733,839.11688,2,"WD","SS","LO",3494.041,788400
"100",1002756,506.98485,2,"WD","SS","LO",3272.498,1239300
"101",1002765,294.85281,1,"WW","VA","LO",1783.675,293400
"102",1002783,259.70563,1,"WD","Al","LO",3025.219,283500
"103",1002966,1193.9697,2,"WD","SS","LO",5143.158,2318400
"104",1003003,302.13203,1,"WW","SS","LO",2605.219,432900
"105",1003015,556.69048,3,"WW","SS","MO",2664.335,13878000
"106",1003022,1781.54329,1,"WD","SS","LO",5730.731,1204200
"107",1003208,1483.67532,1,"WD","SS","LO",2428.234,1045800
"108",1003349,2732.49783,1,"WD","SS","LO",2732.498,1572189
"109",1003409,1626.3961,2,"WW","HS","LO",10753.01,2188800
"110",1003470,1328.52814,2,"WW","SS","LO",16188.37,5495400
"111",1003484,923.9697,2,"WW","SS","LO",3686.468,1366200
"112",1003506,1038.82251,1,"WW","SS","LO",2402.498,477900
"113",1003598,469.70563,3,"WW","HS","MO",2762.498,3688200
"114",1003644,704.55844,2,"WD","SS","LO",13524.18,1503000
"115",1003726,222.42641,2,"WW","VA","LO",4758.305,1954800
"116",1003753,729.41125,4,"WW","VA","MO",4535.879,23652000
"117",1003864,1918.23376,1,"WD","SS","LO",16373.67,1145700
"118",1003909,602.13203,2,"WW","VA","LO",602.132,4786659.5
